mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-08-15 10:00:25.604674048,69.1117,-49.4604,9547.0,28.0,-6440.0,16.6,7048.0,35.0,5,S,1A,3413
2020-07-10 03:08:40.200701952,69.1117,-49.4604,8880.0,18.0,-6080.0,15.2,6472.0,19.5,15,S,2B,3413
2021-01-11 20:39:15.381852928,69.1117,-49.4604,8641.0,139.0,-5769.0,118.5,6434.0,152.7,6,S,1B,3413
2013-03-26 14:56:41.442373120,69.1117,-49.4604,8188.0,84.0,-5692.0,90.6,5886.0,77.2,15,L,7,3413
2021-10-28 09:52:24.915683072,69.1117,-49.4604,8972.0,610.0,-6321.0,854.3,6367.0,140.1,5,S,1A,3413
2022-02-15 03:10:15.211024896,69.1117,-49.4604,344.0,5.0,-339.0,4.9,-58.0,11.5,224,S,2B,3413
2019-01-28 03:29:30.181001984,69.1117,-49.4604,389.0,4.0,-384.0,4.0,-62.0,8.5,234,S,2A,3413
2017-08-06 03:29:05.170708992,69.1117,-49.4604,4496.0,11.0,2799.0,10.9,-3518.0,10.4,54,S,2A,3413
2019-01-23 03:28:55.180922112,69.1117,-49.4604,392.0,3.0,-383.0,2.6,-82.0,5.7,244,S,2A,3413
2018-06-16 09:51:53.958289920,69.1117,-49.4604,6171.0,62.0,-4089.0,57.7,4622.0,64.9,6,S,1B,3413
1986-01-04 14:21:33.969881984,69.1117,-49.4604,830.0,22.0,-826.0,21.7,80.0,23.8,255,L,5,3413
2019-03-28 20:46:51.921608960,69.1117,-49.4604,5975.0,300.0,-4080.0,414.6,4365.0,137.6,6,S,1B,3413
2021-10-01 20:47:13.421257984,69.1117,-49.4604,9454.0,302.0,-6301.0,437.5,7047.0,104.0,5,S,1A,3413
2017-12-16 15:29:09.170803200,69.1117,-49.4604,390.0,3.0,-387.0,3.4,-49.0,5.7,270,S,2B,3413
2020-12-14 09:52:17.846173952,69.1117,-49.4604,8113.0,81.0,-5569.0,49.9,5900.0,100.9,6,S,1B,3413
2021-11-24 20:47:12.833873920,69.1117,-49.4604,8304.0,320.0,-5557.0,451.5,6171.0,141.2,6,S,1B,3413
2019-01-05 03:18:40.180809984,69.1117,-49.4604,440.0,2.0,-432.0,1.5,-87.0,2.0,294,S,2A,3413
2018-08-06 03:28:40.180729088,69.1117,-49.4604,6136.0,34.0,-4234.0,35.4,4441.0,33.4,15,S,2B,3413
2020-01-31 09:52:09.821869824,69.1117,-49.4604,6329.0,434.0,-4294.0,629.5,4649.0,108.2,5,S,1A,3413
2018-06-19 09:51:33.183616768,69.1117,-49.4604,6138.0,30.0,-4172.0,15.9,4502.0,38.3,12,S,1B,3413
2018-07-08 15:10:24.180702976,69.1117,-49.4604,5498.0,29.0,-3749.0,28.6,4022.0,28.8,10,S,2B,3413
2011-06-02 14:48:01.599202048,69.1117,-49.4604,6729.0,150.0,-4654.0,178.2,4860.0,118.9,16,L,7,3413
2018-04-18 03:29:05.180316160,69.1117,-49.4604,347.0,33.0,5.0,24.4,-347.0,32.8,64,S,2A,3413
2021-12-22 03:08:35.210831104,69.1117,-49.4604,343.0,5.0,-337.0,5.0,-64.0,7.4,224,S,2A,3413
2021-02-06 09:52:15.600034048,69.1117,-49.4604,8381.0,106.0,-5552.0,90.9,6279.0,116.6,5,S,1A,3413
2019-07-07 03:28:45.190704128,69.1117,-49.4604,8073.0,41.0,-5459.0,41.6,5947.0,39.6,5,S,2B,3413
2021-06-06 03:28:40.210603008,69.1117,-49.4604,10754.0,87.0,-7128.0,87.9,8052.0,86.9,5,S,2B,3413
1992-09-23 14:29:52.711454848,69.1117,-49.4604,793.0,12.0,-790.0,12.1,-58.0,16.8,335,L,5,3413
2020-04-06 09:52:09.793281024,69.1117,-49.4604,6121.0,112.0,-4031.0,59.6,4606.0,139.6,6,S,1B,3413
2017-07-09 03:19:10.170626048,69.1117,-49.4604,6508.0,19.0,-4605.0,12.3,4598.0,23.9,24,S,2A,3413
2018-04-10 03:19:10.180401920,69.1117,-49.4604,5843.0,55.0,-4026.0,32.6,4235.0,69.4,14,S,2A,3413
2022-04-26 15:17:59.220416000,69.1117,-49.4604,6301.0,35.0,-4298.0,26.8,4608.0,40.4,20,S,2B,3413
2002-05-14 14:55:30.667046016,69.1117,-49.4604,4908.0,126.0,-3644.0,80.1,3288.0,166.4,31,L,7,3413
1992-07-18 14:16:23.361222016,69.1117,-49.4604,3238.0,119.0,-2427.0,125.0,2143.0,109.9,23,L,5,3413
2019-04-19 15:08:09.190408960,69.1117,-49.4604,5728.0,21.0,-4006.0,18.7,4095.0,23.4,20,S,2B,3413
2019-01-20 15:28:09.180817920,69.1117,-49.4604,464.0,2.0,-455.0,1.9,-95.0,1.8,310,S,2B,3413
2018-02-13 15:09:16.170920960,69.1117,-49.4604,413.0,32.0,-403.0,32.1,-88.0,32.1,289,S,2A,3413
2020-09-15 09:52:18.531072000,69.1117,-49.4604,8454.0,58.0,-5576.0,30.1,6355.0,72.1,5,S,1A,3413
2004-05-13 14:44:00.600384896,69.1117,-49.4604,5894.0,127.0,-4236.0,124.1,4098.0,130.3,15,L,7,3413
2021-03-07 10:00:23.710245120,69.1117,-49.4604,8082.0,33.0,-5269.0,19.4,6128.0,40.1,5,S,1A,3413
2004-09-18 14:43:03.850200064,69.1117,-49.4604,6310.0,116.0,-4673.0,122.7,4240.0,106.3,15,L,7,3413
2021-09-22 20:47:34.003437056,69.1117,-49.4604,9634.0,46.0,-6361.0,22.6,7236.0,58.3,12,S,1A,3413
2020-08-29 15:18:09.200824064,69.1117,-49.4604,8638.0,29.0,-5804.0,25.5,6397.0,31.3,10,S,2B,3413
2022-02-15 15:19:54.211017984,69.1117,-49.4604,345.0,6.0,-332.0,5.5,-97.0,12.8,239,S,2B,3413
2017-10-02 03:20:30.170918656,69.1117,-49.4604,7264.0,50.0,-5026.0,33.9,5244.0,60.7,25,S,2B,3413
2019-01-30 09:51:56.722679040,69.1117,-49.4604,5189.0,235.0,-3326.0,343.3,3983.0,108.4,6,S,1B,3413
2018-03-01 03:19:40.170928896,69.1117,-49.4604,454.0,2.0,-441.0,2.1,-109.0,3.4,304,S,2B,3413
2019-09-24 15:19:44.190918912,69.1117,-49.4604,7830.0,163.0,-5293.0,90.0,5769.0,205.8,10,S,2B,3413
1991-06-02 14:23:21.021579008,69.1117,-49.4604,3283.0,503.0,-2108.0,311.5,2517.0,601.5,14,L,5,3413
2017-07-14 15:29:06.170629120,69.1117,-49.4604,6225.0,18.0,-4606.0,13.7,4188.0,22.1,30,S,2A,3413
2019-01-10 15:28:09.180817920,69.1117,-49.4604,438.0,2.0,-430.0,1.7,-86.0,2.1,290,S,2B,3413
2017-05-22 20:47:02.489619968,69.1117,-49.4604,6454.0,28.0,-4422.0,16.6,4702.0,35.7,12,S,1A,3413
2020-06-03 03:18:45.200520960,69.1117,-49.4604,6799.0,38.0,-4803.0,36.1,4812.0,40.5,24,S,2A,3413
2016-12-10 15:09:31.660905728,69.1117,-49.4604,366.0,5.0,-358.0,4.7,-76.0,6.0,190,S,2A,3413
1990-12-01 14:14:59.358407936,69.1117,-49.4604,898.0,25.0,-894.0,25.2,76.0,14.3,192,L,5,3413
2017-09-13 20:46:26.485065984,69.1117,-49.4604,7785.0,44.0,-5170.0,24.2,5821.0,55.4,12,S,1B,3413
2019-12-08 09:52:11.871744000,69.1117,-49.4604,6803.0,473.0,-4624.0,682.2,4989.0,129.4,6,S,1B,3413
2019-06-17 03:28:45.190604032,69.1117,-49.4604,6741.0,16.0,-4885.0,13.0,4646.0,19.5,25,S,2B,3413
2016-06-01 15:19:12.160521984,69.1117,-49.4604,8066.0,48.0,-5465.0,40.0,5933.0,54.0,20,S,2A,3413
2019-02-04 15:30:24.181017088,69.1117,-49.4604,403.0,5.0,-400.0,4.6,-46.0,9.3,219,S,2B,3413
2019-01-25 15:29:56.181001984,69.1117,-49.4604,398.0,5.0,-395.0,4.8,-50.0,10.4,229,S,2A,3413
2019-03-26 03:20:40.190215936,69.1117,-49.4604,646.0,20.0,629.0,17.4,-147.0,42.1,74,S,2A,3413
2016-07-26 15:19:12.160720896,69.1117,-49.4604,9383.0,20.0,-6298.0,20.4,6954.0,20.4,10,S,2A,3413
2018-04-30 15:29:09.180420096,69.1117,-49.4604,5554.0,45.0,-3918.0,34.4,3936.0,52.8,20,S,2B,3413
2017-05-15 15:29:11.170429952,69.1117,-49.4604,5704.0,44.0,-4151.0,28.7,3913.0,57.0,30,S,2A,3413
2022-04-16 03:08:00.220412928,69.1117,-49.4604,6691.0,168.0,-4352.0,160.7,5082.0,172.7,5,S,2B,3413
1985-04-11 02:27:50.807382016,69.1117,-49.4604,3681.0,163.0,-3007.0,138.5,2122.0,204.0,24,L,5,3413
1985-11-09 14:22:15.928659968,69.1117,-49.4604,803.0,19.0,-803.0,18.7,-15.0,18.3,303,L,5,3413
2020-03-01 09:52:09.239024128,69.1117,-49.4604,6139.0,56.0,-4238.0,70.5,4441.0,38.0,6,S,1B,3413
2018-07-24 15:28:14.180719104,69.1117,-49.4604,5761.0,32.0,-3962.0,35.4,4182.0,28.8,9,S,2B,3413
1995-05-05 14:02:29.011459968,69.1117,-49.4604,3179.0,159.0,-2305.0,112.4,2189.0,197.4,31,L,5,3413
2020-01-23 03:29:10.190927104,69.1117,-49.4604,409.0,5.0,-402.0,5.0,-75.0,9.0,234,S,2A,3413
2019-07-31 10:00:33.614343936,69.1117,-49.4604,7539.0,13.0,-5091.0,8.1,5561.0,16.0,12,S,1A,3413
2018-09-02 20:47:14.863945984,69.1117,-49.4604,7195.0,23.0,-5007.0,12.3,5168.0,29.3,12,S,1A,3413
2022-06-16 09:52:39.632134144,69.1117,-49.4604,7196.0,36.0,-4957.0,20.0,5216.0,45.3,12,S,1A,3413
2019-02-12 03:30:50.181017088,69.1117,-49.4604,387.0,4.0,-382.0,3.7,-62.0,6.4,234,S,2B,3413
2009-08-31 14:45:00.005702912,69.1117,-49.4604,8075.0,88.0,-5667.0,102.4,5752.0,71.9,15,L,7,3413
2021-10-14 03:31:45.211011072,69.1117,-49.4604,9021.0,134.0,-5973.0,84.2,6760.0,162.8,5,S,2B,3413
2021-01-10 20:47:05.036843008,69.1117,-49.4604,8672.0,90.0,-5654.0,47.9,6575.0,111.3,5,S,1A,3413
2022-06-15 03:08:55.220602112,69.1117,-49.4604,6645.0,58.0,-4705.0,45.5,4692.0,67.5,24,S,2B,3413
2018-03-06 03:19:40.170928896,69.1117,-49.4604,467.0,2.0,-454.0,2.0,-113.0,3.1,314,S,2B,3413
2020-07-11 03:28:40.200627968,69.1117,-49.4604,8294.0,18.0,-5956.0,15.9,5773.0,19.2,25,S,2B,3413
1989-12-30 14:18:17.599731968,69.1117,-49.4604,772.0,5.0,-770.0,5.1,-63.0,4.1,351,L,5,3413
2018-01-23 03:29:55.171002112,69.1117,-49.4604,375.0,7.0,-371.0,6.8,-53.0,9.8,224,S,2B,3413
